zip,county,area_codes,latitude,longitude,estimated_population
98629,Clark County,"360, 564",45.87,-122.61,9950
98631,Pacific County,"360, 564",46.39,-124.03,3270
98632,Cowlitz County,"360, 503, 564, 971",46.19,-123.05,42490
98635,Klickitat County,"458, 509, 541",45.72,-121.16,1570
98637,Pacific County,360,46.49,-124.03,83
98638,Pacific County,"360, 503, 564, 971",46.36,-123.75,1360
98639,Skamania County,"503, 509, 971",45.64,-121.97,825
98640,Pacific County,"360, 564",46.63,-124.04,4290
98641,Pacific County,"360, 564",46.55,-124.03,167
98642,Clark County,"360, 503, 564, 971",45.79,-122.69,27130
98643,Wahkiakum County,"360, 503, 564, 971",46.29,-123.63,380
98644,Pacific County,"360, 564",46.33,-124.05,662
98645,Cowlitz County,"360, 564",46.32,-122.78,1490
98647,Wahkiakum County,"360, 503, 564, 971",46.28,-123.44,380
98648,Skamania County,"360, 458, 503, 509, 541, 564, 971",45.7,-121.72,2720
98649,Cowlitz County,"360, 564",46.31,-122.69,1200
98650,Klickitat County,"360, 509, 564",45.97,-121.53,1240
98651,Skamania County,"458, 509, 541",45.74,-121.58,820
98660,Clark County,"360, 503, 564, 971",45.72,-122.74,10590
98661,Clark County,"360, 503, 564, 971",45.64,-122.63,38900
98662,Clark County,"360, 564",45.68,-122.57,33460
98663,Clark County,"360, 564",45.65,-122.66,12710
98664,Clark County,"360, 503, 564, 971",45.62,-122.57,19640
98665,Clark County,"360, 564",45.67,-122.66,25550
98666,Clark County,360,45.71,-122.59,1090
98667,Clark County,360,45.63,-122.66,0
98668,Clark County,360,45.71,-122.62,1680
98670,Klickitat County,509,45.85,-121.14,29
98671,Clark County,"360, 503, 509, 564, 971",45.61,-122.23,22900
98672,Klickitat County,"458, 509, 541",45.82,-121.46,6460
98673,Klickitat County,"458, 509, 541",45.66,-121.03,233
98674,Cowlitz County,"360, 503, 564, 971",45.94,-122.67,13890
98675,Clark County,"360, 564",45.83,-122.38,6530
98682,Clark County,"360, 564",45.67,-122.47,62620
98683,Clark County,"360, 503, 564, 971",45.6,-122.51,28770
98684,Clark County,"360, 564",45.63,-122.52,29980
98685,Clark County,"360, 564",45.7,-122.69,27730
98686,Clark County,"360, 564",45.72,-122.61,20600
98687,Clark County,360,45.63,-122.52,1828
98801,Chelan County,509,47.37,-120.35,39390
98802,Douglas County,509,47.49,-120.19,30730
98807,Chelan County,509,47.37,-120.29,3875
98811,Chelan County,509,47.73,-120.37,81
98812,Okanogan County,509,48.15,-119.82,5230
98813,Douglas County,509,47.97,-119.59,3780
98814,Okanogan County,509,48.21,-120.16,470
98815,Chelan County,509,47.55,-120.48,7070
98816,Chelan County,"360, 509, 564",47.89,-119.99,7460
98817,Chelan County,509,47.79,-119.99,338
98819,Okanogan County,509,48.55,-119.81,197
98821,Chelan County,509,47.54,-120.55,954
98822,Chelan County,509,47.79,-120.44,2300
98823,Grant County,509,47.27,-119.59,11790
98824,Grant County,509,47.07,-119.87,439
98826,Chelan County,"360, 509, 564",47.81,-120.86,6920
98827,Okanogan County,509,48.87,-119.73,280
98828,Chelan County,509,47.32,-120.19,2420
98829,Okanogan County,509,48.3,-119.77,701
98830,Douglas County,509,47.89,-119.5,430
98831,Chelan County,509,47.97,-120.15,3710
98832,Grant County,509,47.27,-119.04,290
98833,Okanogan County,"360, 509, 564",48.59,-120.39,210
98834,Okanogan County,509,48.14,-120.05,200
98836,Chelan County,509,47.47,-120.41,1015
98837,Grant County,509,47.19,-119.3,41690
98840,Okanogan County,509,48.22,-119.45,3900
98841,Okanogan County,509,48.36,-119.27,7700
98843,Douglas County,509,47.72,-120.15,1850
98844,Okanogan County,509,48.87,-119.22,3610
98845,Douglas County,509,47.38,-119.96,111
98846,Okanogan County,509,48.01,-119.97,1130
98847,Chelan County,509,47.51,-120.62,1680
98848,Grant County,509,47.17,-119.8,14820
98849,Okanogan County,509,48.56,-119.35,950
98850,Douglas County,509,47.31,-120.08,2120
